Name	Length	EValue	BitScore	
aspni-hyl1	398	0.0	815
aspng-q1ktb6	398	0.0	755
emeni-q5b8w3	416	0.0	552
aspor-q2uq56	390	0.0	543
aspcl-a1ck14	413	0.0	530
aspng-q5ec68	395	6e-173	489
gibze-q4ilz3	399	1e-133	389
mycpj-q30dw8	420	1e-116	346
gibze-q4im21	403	8e-72	229
mycs2-a0r403	370	4e-70	224
maggr-q2kew6	409	1e-69	224
pharh-EPH1	411	3e-68	220
mycss-q1b3j0	367	2e-66	214
mycss-q1bbg2	377	3e-66	214
rhogl-EPH1	409	4e-65	212
chagb-q2gr54	410	1e-63	208
mycgi-a4t779	367	2e-63	206
mycvn-q269v5	367	3e-63	206
haltv-d2s1c2	383	9e-63	205
burch-a0axw6	425	2e-62	206
mycpa-q73yg7	401	1e-61	202
9gamm-a0yac9	412	2e-60	200
9sphn-q2nav3	373	4e-60	198
burvi-q4bef7	425	5e-60	199
stiau-EPHA	440	7e-60	199
rhoto-EPH1	409	9e-60	198
rhoar-EPH1	410	2e-58	194
rhil3-q1mgh5	436	2e-58	195
rhodp-EPH1	411	2e-57	192
braja-BLL7368	379	3e-57	191
strcz-Q84HB8	385	3e-57	191
rhil3-q1m4g3	445	1e-56	191
9sphn-q3vax0	448	1e-56	190
frasn-A8KZJ7	323	2e-56	187
mycs2-a0qxs4	405	8e-56	187
strcz-Q84HB1	387	1e-55	186
novad-q2g620	377	2e-55	186
danre-hyep	456	4e-55	186
sacpa-q1ktb4	377	6e-55	184
ustma-q4pd75	420	7e-55	185
danre-ephx1l	467	7e-55	186
pelub-q4fmg8	380	2e-54	183
psepf-q3k468	438	2e-54	184
rhisn-q6w191	439	2e-54	184
aspor-q2ugi2	410	3e-54	183
rhil3-q1mi67	428	4e-54	183
strgl-Q8GMH6	385	5e-54	182
cloac-CAC0719	381	3e-53	180
rhil3-q1mf73	440	5e-53	181
maggr-q2kf14	410	1e-52	179
psepf-q3ke09	444	2e-52	179
mycs2-a0qnw0	385	4e-52	177
braja-BLL3418	444	6e-52	177
emeni-q5b2g8	419	9e-52	177
9gamm-a0z5n0	390	9e-52	176
9acto-q2uze5	388	2e-51	175
braja-BLL6264	437	3e-51	176
9burk-q4lts8	382	4e-51	174
rhiec-q2jya1	428	6e-51	174
gibze-q4i4q2	356	9e-51	172
bovin-q3zcj6	451	9e-51	175
aspor-q2uja2	418	2e-50	173
aspfu-q4wny7	417	4e-50	172
thefy-q47qj2	393	9e-50	171
clobe-q2whr9	380	1e-49	170
neofi-a1d654	420	1e-49	171
caphi-f2x2y8	451	1e-49	171
bacsk-q5wi80	385	2e-49	169
sussc-hyep	454	2e-49	171
rabit-hyep	455	3e-49	171
silpo-q5lkk5	436	4e-49	170
rhil3-q1m8d0	435	7e-49	169
xenla-q6ir67	456	3e-48	168
burs3-q39lb4	443	6e-48	167
burvi-q4bsm5	382	7e-48	165
caebr-A8XUF0	453	8e-48	167
kinra-q418w9	420	4e-47	164
mouse-EPHX1	455	5e-47	164
caucr-CC3091	379	7e-47	162
ustma-q4pdg1	451	7e-47	164
ctefe-Q8MZR6	464	2e-46	163
ratno-hyep	455	2e-46	163
human-EPHX1	455	7e-46	161
ponpy-q5r5e0	455	8e-45	159
caeel-W01A11.1	452	2e-44	157
drops-q290w0	474	5e-44	157
macfa-q4r3z0	482	2e-43	155
anoga-q5ts54	475	2e-43	155
drome-CG15101	474	5e-43	154
anoga-q7q8d4	458	6e-43	153
9hyme-q2z1t2	463	6e-43	153
